# This is an Antarctic coastline corresponding to the decimal year in the filename.
# The columns are EPSG:3031 (ps71) eastings and northings in meters.
# These coastlines correspond to the 240 m ice mask in icemask_composte.mat.
# Regions of ice are separated by a row containing NaN NaN.
"# Created by Chad A. Greene, NASA Jet Propulsion Laboratory, November 2021."
-2648048,1461848
-2648168,1461968
-2648168,1462208
-2648168,1462448
-2648168,1462688
-2648168,1462928
-2648168,1463168
-2648168,1463408
-2648168,1463648
-2648168,1463888
-2648168,1464128
-2648168,1464368
-2648168,1464608
-2648168,1464848
-2648048,1464968
-2647928,1465088
-2647808,1465208
-2647688,1465328
-2647688,1465568
-2647568,1465688
-2647328,1465688
-2647208,1465808
-2647208,1466048
-2647088,1466168
-2646848,1466168
-2646728,1466288
-2646728,1466528
-2646608,1466648
-2646368,1466648
-2646248,1466768
-2646248,1467008
-2646248,1467248
-2646128,1467368
-2646008,1467488
-2646008,1467728
-2645888,1467848
-2645648,1467848
-2645408,1467848
-2645288,1467968
-2645288,1468208
-2645288,1468448
-2645288,1468688
-2645288,1468928
-2645168,1469048
-2645048,1469168
-2644928,1469288
-2644688,1469288
-2644448,1469288
-2644328,1469408
-2644328,1469648
-2644208,1469768
-2643968,1469768
-2643728,1469768
-2643488,1469768
-2643368,1469888
-2643368,1470128
-2643248,1470248
-2643008,1470248
-2642768,1470248
-2642648,1470368
-2642648,1470608
-2642528,1470728
-2642288,1470728
-2642168,1470848
-2642048,1470968
-2641928,1471088
-2641808,1471208
-2641688,1471328
-2641568,1471448
-2641448,1471568
-2641328,1471688
-2641088,1471688
-2640848,1471688
-2640608,1471688
-2640368,1471688
-2640248,1471808
-2640248,1472048
-2640248,1472288
-2640248,1472528
-2640368,1472648
-2640608,1472648
-2640728,1472768
-2640728,1473008
-2640728,1473248
-2640728,1473488
-2640728,1473728
-2640848,1473848
-2641088,1473848
-2641208,1473968
-2641088,1474088
-2640968,1474208
-2640968,1474448
-2640848,1474568
-2640728,1474688
-2640608,1474808
-2640368,1474808
-2640248,1474928
-2640248,1475168
-2640248,1475408
-2640248,1475648
-2640248,1475888
-2640248,1476128
-2640248,1476368
-2640248,1476608
-2640368,1476728
-2640608,1476728
-2640728,1476848
-2640728,1477088
-2640728,1477328
-2640728,1477568
-2640848,1477688
-2641088,1477688
-2641208,1477808
-2641208,1478048
-2641328,1478168
-2641568,1478168
-2641688,1478288
-2641688,1478528
-2641808,1478648
-2642048,1478648
-2642168,1478768
-2642288,1478888
-2642528,1478888
-2642648,1479008
-2642768,1479128
-2643008,1479128
-2643128,1479248
-2643248,1479368
-2643368,1479488
-2643368,1479728
